,abv,adv_score,avg_rating,beer_desc,beer_name,beer_type,brewery,num_ratings,style_rank,total_rank
3726,5.5%,78.0,2.72,,Artemis,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,12.0,41.0,47024.0
3727,6%,86.0,3.94,"Unhopped wild sour ale with foraged herbs and flowers, refermented with chardonnay grapes and aged 1 year in white wine barrels.	",Imaginary Day,Gruit / Ancient Herbed Ale,Cambridge Brewing Company,12.0,14.0,23559.0
3728,5.5%,89.0,4.36,"Made with Connecticut-grown ingredients including: sweet gale from our land, spruce tips from Tiny Acre Farm (Woodstock, CT), Thrall Family Malt (Windsor, CT), Fox Hollow Hops (Colchester, CT) and our own well water. Fermented and foeder-aged with a combination of our own house culture and Voss kveik, a unique Norwegian farmhouse yeast strain.	",Våronna,Gruit / Ancient Herbed Ale,Fox Farm Brewery,12.0,6.0,10127.0
3729,4.75%,83.0,3.51,,Heather Ale,Gruit / Ancient Herbed Ale,Kuhnhenn Brewing Company,12.0,33.0,38359.0
3731,5.6%,80.0,3.09,"This ale is brewed at Klackabacken in Önnestad from water, pilsner and carapils malt and then boiled with cascade hops and spruce shoots before it's fermented with Saison yeast. Because the Ale is unfiltered it might be a bit turbid but it will get clear if kept upright in the fridge for a couple of days. Keep dark and cool.	",Scandinavian Spruce Ale,Gruit / Ancient Herbed Ale,Eskilstuna Ölkultur,13.0,39.0,45148.0
3732,5.8%,83.0,3.56,,Wild Oats Series No. 61 - Tyrannosaurus Gruit,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,14.0,30.0,37748.0
3733,6.3%,84.0,3.62,,Wild Oats Series No. 51 - O.G. (Original Gruit),Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,15.0,24.0,36095.0
3735,4.5%,84.0,3.61,"Truly unique. A reddish brown ale that is primarily bittered with ""Blessed Thistle"". The late addition of Goldings hops and ginger add to the flavours of this most complex of beers.	",Blessed Thistle,Gruit / Ancient Herbed Ale,"Cairngorm Brewery Company, The",15.0,25.0,36467.0
3737,9%,85.0,3.76,,Ancient Gruit Ale,Gruit / Ancient Herbed Ale,The Beer Diviner,17.0,19.0,30747.0
3738,4.5%,81.0,3.27,,Plaid To The Bone,Gruit / Ancient Herbed Ale,Picaroons Traditional Ales,19.0,38.0,44855.0
3739,5.6%,89.0,4.23,"Bottle-conditioned sour ale brewed without hops. Bittered and flavored with sage, basil, lemon thyme, rosemary, and lavender from our garden and fermented with our wild house mixed culture.	",Mumm,Gruit / Ancient Herbed Ale,Scratch Brewing Company,20.0,5.0,9106.0
3741,5.5%,86.0,3.87,Scottish gruit with juniper berries and heather. A stab at the vaunted Heather Ale of Pictish lore.	,William Wallace,Gruit / Ancient Herbed Ale,Earth Eagle Brewings,21.0,16.0,24749.0
3743,5%,83.0,3.6,"A Salt Spring Style Heather beer, Heatherdale Ale was created for the world famous Butchart Gardens in Victoria. Heather ale is a Scottish (actually Pictish) style that dates back thousands of years (2000BC). Our Heatherdale ale is dark gold, lightly hopped with East Kent Goldings, then infused with the aroma of Heather flowers from the Butchart Gardens. Mild with a floral aroma.	",Salt Spring Heatherdale Ale,Gruit / Ancient Herbed Ale,Salt Spring Island Ales,21.0,32.0,38061.0
3744,4.5%,84.0,3.71,"Buenos Dias is a gruit ale brewed with organic lime juice, organic orange and lime peel, and sea salt. The zippy lime flavour is accented with a lick of salt. Kick back and enjoy the zest of a classic Margarita in each refreshing sip!,
,
Buenos Dias pours light yellow with a slight haze and white foam. The aroma offers pronounced citrus notes with subtle coriander undercurrents. Zippy lime flavour is accented with a wicking salt edge in the mouthfeel. The finish is quick, clean and dry.",Buenos Dias,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,22.0,23.0,33545.0
3746,7.5%,83.0,3.61,,Beann Gulban Irish Heather Ale,Gruit / Ancient Herbed Ale,The White Hag Irish Brewing Company,22.0,31.0,37880.0
3747,5.2%,83.0,3.57,,Suneater,Gruit / Ancient Herbed Ale,4th Tap Brewing Co-op,23.0,34.0,39539.0
3748,10%,86.0,3.89," 
Bourbon Barrel-Aged Gruit Brewed with Yarrow and Rosemary - A collab with Short's Brewing	",Tip Ta Tip,Gruit / Ancient Herbed Ale,Funky Buddha Brewery,23.0,13.0,23316.0
3749,8.5%,85.0,3.78,"Beau's is proud to present the most recent evolution of a new style of beer we call the Eastern Ontario Gruit. Prepare yourself for a full-out assault on your palate! Intense flavours and aromatics of raisin, hazelnut, herbal bitters, burnt toast, pisang goreng, cola and bubblegum are achieved through the alchemy of a double-mash of dark malts, Belgian trappist ale yeasts, and bogmyrtle hand-picked in the Eastern Ontario wilderness.	",Wild Oats Series No. 8 - Bog Father Eastern Ontario Gruit,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,23.0,18.0,29865.0
3750,8%,84.0,3.65,,Gruut Bruin,Gruit / Ancient Herbed Ale,Gentse Gruut Brouwerij,29.0,27.0,37144.0
3752,5.8%,88.0,4.04,"Discovery your inner Viking with our ever-changing unhopped fruit ale. Combining gentian and angelica root, cherry bark, yarrow, elderberries and dandelion greens, it is a distinctly unique beer from an ancient brewing tradition.	",Weekapaug Gruit,Gruit / Ancient Herbed Ale,Magnolia Pub & Brewery,30.0,9.0,13246.0
3753,5.8%,85.0,3.74,,Peach Gruit,Gruit / Ancient Herbed Ale,Mountain Town Brewing Co.,33.0,22.0,32461.0
3754,5.2%,82.0,3.54,,MaddAddamites NooBroo,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,37.0,36.0,42245.0
3755,5.5%,88.0,4.05,,Working For Tips,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,41.0,7.0,10890.0
3756,5.7%,84.0,3.66,"Lavender, Rosemary, and Thyme Used For Bittering	",St. Luke's Verse (Lavender Gruit),Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,42.0,29.0,37708.0
3757,4.4%,92.0,4.28,"Spring Tonic was brewed with plants that were coming up in our garden during mid-spring this year: dandelion, carrot tops, and clover, with ginger from All Seasons Farm in Cobden. It is fermented with our wild house culture. Spring Tonic has a lemonade-like tartness with a light ginger finish.	",Spring Tonic,Gruit / Ancient Herbed Ale,Scratch Brewing Company,47.0,2.0,3719.0
3759,5.5%,84.0,3.68,,Gruut Blond,Gruit / Ancient Herbed Ale,Gentse Gruut Brouwerij,50.0,26.0,36984.0
3761,5.8%,80.0,3.42,"A pale ale brewed with yarrow, myrtle and rosemary. This comes from the label and is very helpful and informative when looking at the description of the beer.	",Sacred Gruit Ale,Gruit / Ancient Herbed Ale,Mountain Town Brewing Co.,54.0,40.0,45711.0
3763,5%,91.0,4.17,"A raiding party to your senses, this Viking beer is meant to be enjoyed unapologetically. Sweet, floral and exploding with sour flavor, this ancient ale was created by the Vikings, claimed by the Scott's, lost to time and given rebirth by our brewers to share amongst the enlightened.	",Viking Fraoch,Gruit / Ancient Herbed Ale,D9 Brewing Company,105.0,3.0,3774.0
3765,6.6%,84.0,3.69,"Malty, with a plum-like fruitiness that is offset by spicy, earthy bitterness.	",Bog Water,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,113.0,28.0,37786.0
3766,8.5%,88.0,3.97,"Jopen Koyt is a gruitbeer (herb beer) that is brewed according to the bierkeur (city recipe) from 1407. The beer is brewed with malted barley, malted wheat and oats and has a malty taste with a smooth herbal finish. The aroma has a hint of herbs and spices mixed with dark malt. Jopen Koyt is the only gruitbeer from the Netherlands. Gold medal winner at the European Beerstar competition in 2009 and a silver medal at the European Beerstar Competition in 2011.	",Koyt,Gruit / Ancient Herbed Ale,Jopen Bier BV Haarlem,137.0,8.0,10880.0
3767,5.7%,96.0,4.4,"2013 Notes:,
This version of Special Herbs is composed of Reggae Junkie Gruit aged in Old Tom Gin barrels and wine barrels that previously fermented Fantasia, a peach beer.,
,
2014 Notes:,
A unique brew incorporating wine and gin barrel aging to a farmhouse style gruit. The recipe uses lemongrass, sweet and bitter orange peels, hyssop, and Sichuan peppercorns. A bit of spelt in the grist helps maintain some body, although the Special Herbs leans in a bright and dry direction.	",Special Herbs (Seasonal),Gruit / Ancient Herbed Ale,Upright Brewing Company,202.0,1.0,649.0
3768,8%,90.0,4.04,,Posca Rustica,Gruit / Ancient Herbed Ale,Brasserie Dupont sprl,251.0,4.0,6177.0
3769,4.6%,87.0,3.9,"Created by Dr. Fritz Briem of Doemens Institute ( http://www.doemens.org ), brewed by Weihenstephan & Doemens.	",13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,304.0,10.0,15409.0
3770,4.4%,83.0,3.66,"At least four hundred years ago, the coastal & Island farmers of Scotland used seaweed beds to grow their cereal crops. This barley produced very interesting flavors in the ale and whiskey they produced. Including bladderwrack seaweed in the mash tun along with organic barley gives this wholesome dark ale a distinctive flavor.	",Kelpie Seaweed Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,420.0,35.0,41007.0
3771,5%,81.0,3.56,"From the Gaelic ""Groseid"", Since at least the 16th century Scots monks and alewives brewed indigenous drinks from cereals, wild herbs and ripe fruits. Tibbie Shiels green Grozet was immortalised by such Scots literati as Sir Walter Scott, Jas Hogg. (The Ettrick shepherd) and Robert Burns whoconsidered it a most convivial drink. Brewed with lager malt, wheat, bog myrtle, hops and meadowsweet then secondary fermented with ripe Scottish gooseberries.	",Grozet,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,466.0,37.0,45084.0
3772,6.5%,86.0,3.82,"Introduced to Scotland by Welsh druids in the 9th Century, elderberry black ale was part of the Celtic Autumn festivals when the ""elders"" would make this strong ale and pass the drink round the people of the village. The recipe was taken from a 16th Century record of domestic drinking in the Scottish Highlands. Elderberries were used for many natural remedies to cure sciatica, other forms of neuralgia, influenza and rhumatism as they contain tannins and fruit oils. Ebulum is made from roasted oats, barley and wheat boiled with herbs then fermented with ripe elderberries.	",Ebulum Elderberry Black Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,545.0,17.0,24535.0
3773,10%,85.0,3.76,"With the help of biomolecular archaeologist Dr. Patrick McGovern, we've re‐created another Ancient Ale, this time from the Nordic climes of Scandinavia.,
,
The recipe for Kvasir was developed with the help of chemical, botanical and pollen evidence taken from a 3,500‐year‐old Danish drinking vessel. The vessel, made of birch bark, was found in the tomb of a leather‐clad woman Dr. Pat says was probably an upper-class dancer or priestess. The analysis pointed to the ingredients used in this unique brew: wheat, lingonberries, cranberries, myrica gale, yarrow, honey and birch syrup.,
,
The base of Kvasir is a toasty red winter wheat, and the bog-grown berries deliver a pungent tartness. While a handful of hops is used, the earthy, bitter counterpunch to the sweet honey and birch syrup comes from the herbs.	",Kvasir,Gruit / Ancient Herbed Ale,Dogfish Head Craft Brewery,666.0,21.0,32218.0
3774,7.5%,86.0,3.83,"Introduced by the Vikings, spruce and pine ales were very popular in the Scottish Highlands until the end of the 19th century. Many early explorers, including Captain Cook, used spruce ale during long sea voyages since it prevented scurvy and ill health. Shetland spruce ale was said to ""stimulate animal instincts"" and give you twins. Alba is a triple style ale brewed to a traditional Highland recipe from Scots pine and spruce shoots pickled during early spring. Pure malted barley, is boiled with the young sprigs of pine for several hours then the fresh shoots of the spruce are added for a short infusion before fermentation.	",Alba Scots Pine Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,697.0,15.0,23202.0
3775,5%,85.0,3.77,"Brewed in Scotland since 2000 B.C. heather ale is probably the oldest style of ale still produced in the world. From an ancient Gaelic recipe for ""leann fraoich"" (heather ale) it has been revived and reintroduced to the Scottish culture. Into the boiling bree of malted barley, sweet gale and flowering heather are added, then after cooling slightly the hot ale is poured into a vat of fresh heather flowers where it infuses for an hour before being fermented.	",Fraoch Heather Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,1176.0,20.0,31080.0
3776,6%,,3.13,,Aki No Zeitaku,Happoshu,Suntory,2.0,,
3777,6%,,3.51,,Akiraku,Happoshu,Suntory,2.0,,
3778,4.8%,,3.17,,Inari Biru,Happoshu,Yeastie Boys,2.0,,
3779,5.5%,,2.08,,Orion Nangoku Monogatari,Happoshu,"Orion Beer Co., Ltd.",2.0,,
3780,6%,,3.04,,Sapporo Mega Lager,Happoshu,Sapporo Breweries Ltd.,2.0,,
3781,5.5%,,2.28,,Kirin Tanrei Platinum Double,Happoshu,"Kirin Brewery Company, Limited",3.0,,
3782,5%,,3.45,,Kinmugi Clear Label (金麦クリアラベル),Happoshu,Suntory,3.0,,
3783,5%,,3.36,,Kirin Sumikiri,Happoshu,"Kirin Brewery Company, Limited",3.0,,
3784,5%,,3.14,,Asahi Craft Style British Ale Type,Happoshu,Asahi Breweries Ltd,3.0,,
3785,7%,,2.76,,Asahi Strong Off,Happoshu,Asahi Breweries Ltd,3.0,,
3786,5%,,3.12,,Sapporo Mugi To Hopppu (trans. Barley And Hop),Happoshu,Sapporo Breweries Ltd.,3.0,,
3787,5.5%,,2.45,,Kirin Tanrei W Double,Happoshu,"Kirin Brewery Company, Limited",3.0,,
3788,5%,,3.52,"Brewed using honey and apples from Yoichi, Hokkaido, this cider-like beer has an incredibly crisp taste that’s sure to leave you wanting more.,
,
Malt: Pale,
Hops: Fuggle, Kent Golding	",Honey Apple Ale,Happoshu,Hokkaido Brewing,3.0,,
3789,6%,,2.44,,Asahi Style Free (and Purine Free),Happoshu,Asahi Breweries Ltd,3.0,,
3790,5%,,2.24,,Barreal,Happoshu,Hite Brewery Company LTD,3.0,,
3791,5%,,3.79,"Refreshingly cool taste produced with freshly squeezed lemon juice from Japanese Hiroshima Lemons, fermented and bottled as the perfect thirst-quencher, no matter what season.,
,
Malt: Pale,
Hops: Fuggle, Kent Golding	",Lemon Lager,Happoshu,Hokkaido Brewing,4.0,,
3793,5.4%,,3.81,"Dry, tart and decisively unique, Shokunin koji ale is a delicate ale of mixed fermentation. Using koji (a special rice mould) and traditional sake yeast, with no bittering hops added boasts aromatic notes of stone fruit and citrus. This sake-beer hybrid features koji, rice, and sake yeast. The result is a dry, slightly tart, easy-drinking “koji” ale.	",Shokunin Koji Ale,Happoshu,Driftwood Brewery,4.0,,
3794,5%,,4.08,"The specialty local fruit of Hokkaido, red meat Dream Melons are used to produce this exotic fruit beer, characterized by sweet overtones of honeydew and cantaloupe.,
,
Malt: Pale,
Hops: Fuggle, Kent Golding	",Melon Ale,Happoshu,Hokkaido Brewing,4.0,,
3795,5%,,2.48,,Sapporo Hokkaido Premium,Happoshu,Sapporo Breweries Ltd.,4.0,,
3796,5%,,4.03,"The Yamanashi peaches brewed into this delicious, award-winning wheat beer are so sweet and juicy, you won’t be able to put this one down.,
,
Malt: Pale,
Hops: Fuggle, Kent Golding	",Peach White Ale,Happoshu,Hokkaido Brewing,4.0,,
3797,5%,,3.7,"European Pears, grown in Yoichi, Hokkaido are used to compliment the clear lineage of lager beer with a sweet fragrance that lingers. Better than any cider. ,
,
Malt: Pilsner,
Hops: Perle, Hersbrucker	",Pear Lager,Happoshu,Hokkaido Brewing,4.0,,
3798,5%,,3.19,,Honkaku Karakuchi Mugi,Happoshu,"Kirin Brewery Company, Limited",4.0,,
3800,5%,,4.16,"Blueberry and cherries from Yoichi, Hokkaido are used in this fine ale. The tart cherry notes work in perfect harmony with the refreshing blueberry sweetness.,
,
Malt: Pale,
Hops: Fuggle, Kent Golding	",Cherry & Berry Ale,Happoshu,Hokkaido Brewing,5.0,,
3802,4.5%,,1.64,,FiLite,Happoshu,Hite Brewery Company LTD,5.0,,
3803,5%,,2.95,,Kirin Nodogoshi Nama,Happoshu,"Kirin Brewery Company, Limited",5.0,,
3804,6%,,3.14,,Kirin Enjuku Kuro,Happoshu,"Kirin Brewery Company, Limited",5.0,,
3805,5%,,2.48,,Asahi Shinnama,Happoshu,Asahi Breweries Ltd,5.0,,
3806,4%,,2.11,,Asahi Style Free,Happoshu,Asahi Breweries Ltd,5.0,,
3807,5%,,2.37,,Jokki (Jug Nama),Happoshu,Suntory,6.0,,
3808,5.5%,,3.04,,Kirin Shirokirin,Happoshu,"Kirin Brewery Company, Limited",6.0,,
3809,5%,,2.83,,Sapporo Mugi To Hop: The Gold,Happoshu,Sapporo Breweries Ltd.,6.0,,
3810,6%,,3.08,"Our innovative brew is produced with a higher alcohol content, a sharp & dry accent, and a rich malt flavor. With a newly matured taste, this is the SPECIAL X.	",Orion Special X,Happoshu,"Orion Beer Co., Ltd.",6.0,,
3811,5%,,3.93,,Tanba No Kuromame,Happoshu,"Kizakura Sake Brewing Co., Ltd.",7.0,,
3812,5%,,2.76,,Kirin Nodogoshi,Happoshu,"Kirin Brewery Company, Limited",8.0,,
3813,5.5%,,3.13,,Asahi Honnama Gold,Happoshu,Asahi Breweries Ltd,8.0,,
3815,5%,76.0,3.5,,Helios Goya Dry,Happoshu,"Helios Distillery Co., Ltd.",10.0,3.0,52907.0
3816,6%,71.0,3.11,,Kirin Enjuku,Happoshu,"Kirin Brewery Company, Limited",10.0,5.0,52880.0
3817,5.5%,68.0,2.82,,Orion Southern Star,Happoshu,"Orion Beer Co., Ltd.",10.0,8.0,52896.0
3819,6%,77.0,3.55,,Kinshachi Nagoya Red Miso Lager,Happoshu,Land Beer,12.0,2.0,37264.0
3820,5%,57.0,1.95,,Sapporo Draft One,Happoshu,Sapporo Breweries Ltd.,14.0,14.0,48986.0
3822,5%,71.0,3.08,,Okhotsk Blue Draft,Happoshu,"Abashiri, K.K.",18.0,6.0,46351.0
3823,5.5%,72.0,3.18,,Orion Mugi Shokunin,Happoshu,"Orion Beer Co., Ltd.",18.0,4.0,45571.0
3824,5%,57.0,2.09,,Asahi Honnama Aqua Blue,Happoshu,Asahi Breweries Ltd,19.0,13.0,49184.0
3825,4.5%,58.0,2.21,,Kirin Tanrei Green Label,Happoshu,"Kirin Brewery Company, Limited",22.0,12.0,49203.0
3826,5.5%,67.0,2.85,,Asahi Honnama Red,Happoshu,Asahi Breweries Ltd,31.0,9.0,48529.0
3827,5%,67.0,2.85,,Clear Sakura Beer,Happoshu,Asahi Breweries Ltd,33.0,10.0,48599.0
3829,5%,69.0,2.95,,Kinmugi (Rich Malt),Happoshu,Suntory,42.0,7.0,48582.0
3830,5.5%,64.0,2.7,,Kirin Tanrei,Happoshu,"Kirin Brewery Company, Limited",80.0,11.0,49432.0
3832,7%,79.0,3.49,"Brewed with roasted Kintoki Sweet Potatoes from Saitama Japan. This imperial Amber is rich and smooth bodied in style, perfectly balanced with earthy hop bitterness. With the aroma of caramel, sweet potato and hops, Beniaka delivers on all senses.,
,
Because of the use of sweet potato as a secondary ingredient, Japanese laws classify Coedo Beniaka as a Happoshu (malt beverage).	",Beniaka,Happoshu,Coedo Brewery (Kyodo Shoji Koedo Brewery),143.0,1.0,45892.0
3833,6.9%,84.0,3.77,"An artisanal style IPA combining mildly bitter hops, garden fresh jalapeño peppers and cilantro. It’s an easy drinking IPA without the burn or bittering one might expect.	",Welcome To Scoville Jalapeño IPA,Herb and Spice Beer,Jailbreak Brewing Company,143.0,40.0,30844.0
3835,6%,77.0,3.38," Brewed to celebrate winter in New England, Nor'Easter Lager possesses a hearty malt flavor delicately accented by mild winter spices.,
,
16 IBU	",Nor'Easter Lager,Herb and Spice Beer,Thomas Hooker Brewing Company,155.0,260.0,47486.0
3836,6%,78.0,3.42,"This beer's biscuity malt flavor and hint of citrusy hops are the backdrop for the bold zest of ginger, which adds a warming, spicy character that's just right for a cool night.,
,
55 IBU	",Samuel Adams Ginger Beer,Herb and Spice Beer,Boston Beer Company (Samuel Adams),158.0,252.0,47013.0
3838,6%,84.0,3.76,"La Meule, blond ale with sage, frankly bitter with a subtle bouquet.	",La Meule,Herb and Spice Beer,BFM (Brasserie des Franches-Montagnes),159.0,44.0,31938.0
3840,10%,90.0,4.11,,Brunch Money,Herb and Spice Beer,Armadillo Ale Works,159.0,1.0,4500.0
3841,8%,86.0,3.87,A combination between a British Red Ale and a Belgian Wit Bier.	,Red/White Christmas,Herb and Spice Beer,Mikkeller ApS,164.0,15.0,19496.0
3842,4.2%,75.0,3.23,,Ginger Beard,Herb and Spice Beer,Wychwood Brewery Company Ltd,165.0,284.0,48497.0
3843,7.5%,89.0,4.03,"John likes gin, but John makes beer. To reconcile these two things, John made a Bee's Knees cocktail inspired honey saison made with gin spices and lemon juice. ,
,
15 IBU	",Eille,Herb and Spice Beer,Off Color Brewing,168.0,4.0,7166.0
3844,5%,78.0,3.41,"Sunset-coloured (orangey-amber) slightly sweet, malty palate with dry lemon-tea finish. Beer made with addition of Black tea leaves and lemon in aging tank. Very smooth and quenching; unfiltered.	",Lemon Tea Ale,Herb and Spice Beer,Mill Street Brew Pub,170.0,255.0,47193.0
3845,8.2%,88.0,3.97,"This beer pours a deep dark brown with a snow-white head. Aroma notes of Vanilla, Cinnamon and sweet milk hit the nose bringing up images of the delicious Mexican drink this beer is styled after. The beer hits the palate with Vanilla, sweet chocolate malts, and a hint of cinnamon; all with a medium body and a balancing hop bitterness. Enjoy this beer next to a roaring fire with your amigos in a cozy cabin after a long day of skiing the deep powder of the Rocky Mountains.,
,
This beer fits better into the Herb/Spiced Beer Category, as it is spiced with a ton of Cinnamon and Vanilla and also uses milk sugar. It recently took home a medal in this category and we believe it is a more accurate description then an Imperial porter.,
,
Thanks and Cheers.,
,
The Elevation Team.	",Señorita,Herb and Spice Beer,Elevation Beer Co.,191.0,5.0,10209.0
3846,5.5%,66.0,2.73,"Our delicious, easy-drinking Best Damn Root Beer is aged on real vanilla beans during the brewing process for a full-flavored, well-balanced take on one of our favorite classic tastes. We hope you love it as much as we do. Cheers!	",Best Damn Root Beer,Herb and Spice Beer,Anheuser-Busch,194.0,303.0,49573.0
3848,7.2%,83.0,3.67,"The beer formerly known as LSD: A kaleidoscopic combination of Lavender, Sunflower honey, and Dates set the stage for a mind-bending beer experience as delicate floral aromas dance atop rich notes of fruit and honey. ""	","Lavender, Sunflower Honey and Date Honey Ale (LSD)",Herb and Spice Beer,Indeed Brewing Company - Minneapolis,194.0,76.0,39832.0
3850,8.5%,85.0,3.81,,Noël Des Géants,Herb and Spice Beer,Brasserie Des Légendes,196.0,26.0,26186.0
3851,6.5%,87.0,3.92,"15°P, 30 IBU.,
,
Also sold as ""Peculiar Yule"".,
,
Ingredients: Maris Otter, Munich, caramel, and chocolate malt; Columbus and Cascade hops; 5 different spices, English ale yeast, and our local Grimstad water	",Underlig Jul,Herb and Spice Beer,Nøgne Ø - Det Kompromissløse Bryggeri A/S,199.0,9.0,14101.0
3852,10.5%,84.0,3.73,,Rude Elf's Reserve,Herb and Spice Beer,Allentown Brew Works,203.0,52.0,35055.0
3853,5.7%,74.0,3.18,,Dos Equis Azul,Herb and Spice Beer,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",206.0,290.0,48771.0
3854,5%,80.0,3.54,,Lemongrass Luau,Herb and Spice Beer,Kona Brewing Co.,206.0,188.0,45164.0
3855,6%,80.0,3.53,This Bison classic brew is infused with honey for a hint of sweetness and aroma. Fresh organic basil lends a slight herbal note and a hint of basil - a perfectly refreshing brew. ,Bison Organic Honey Basil,Herb and Spice Beer,Bison Brewing,214.0,194.0,45421.0
3856,4.6%,76.0,3.33,"Shipyard GingerBreadHead Ale is like a spicy, rich, gingerbread cookie you can drink. The warm flavors of molasses and brown sugar are accented with ginger, cloves, and cinnamon.	",GingerBreadHead,Herb and Spice Beer,Shipyard Brewing Company,215.0,273.0,48060.0
3857,5.2%,78.0,3.4,"A refreshing wheat beer spiced with fresh ginger root. The process of making this wheat beer has been nicknamed ""special ginger tea"", due to the fact that we add over 20 lbs. of fresh ground ginger root into the boil.,
,
We use pale malt, and wheat, as well as Target and Whitbread Goldings Variation hops to flavor this light, summer ale.,
,
Island Ginger is particularly popular during the warmer summer months, though thanks to the ginger kick it has, it would also be warming in the cold winter months.	",Mount Desert Island Ginger,Herb and Spice Beer,Atlantic Brewing Company / Mainely Meat BBQ,217.0,258.0,47467.0
3858,6.6%,87.0,3.89,"Ale brewed with spices, almond milk, cocoa, chili, black beans & avocado leaves.	",Mexas Ranger,Herb and Spice Beer,Mikkeller ApS,221.0,12.0,16837.0
3859,4.7%,80.0,3.51,"Our first unfiltered offering, Summer Swelter Ale is the perfect warm weather beer! Summer Swelter Ale is light and refreshing while still keeping your taste buds interested. The malt base features a hefty dose of wheat for a big, fluffy head and a soft, round body, yet keeps the beer drinkable even during the dog days. The light malt character is more than balanced by a blend of citrusy American hops, giving Swelter a crisp bitterness without being overpowering. The hoppy citrus aroma complements the ingredients that make this beer so unique: lemon and lime peel, Kaffir lime leaves, and lemongrass provide an subtle yet unmistakeable floral nose and just a touch of bracing tartness, taking the refreshment of Swelter to the next level.	",Summer Swelter Ale,Herb and Spice Beer,Baxter Brewing Co.,222.0,211.0,45853.0
3860,5%,77.0,3.37,"This is a fermented malt beverage, meaning it is pretty much beer, but it tastes just like root beer. The 5% ABV brew has a tinge on malt flavor on the finish; other than that it tastes just like soda.	",Hard Root Beer,Herb and Spice Beer,Sprecher Brewing Company,233.0,265.0,47784.0
3861,5.2%,75.0,3.27,"It took a while for us to come up with a UFO beer that could withstand the darkest days of the year, but the warmth of ginger combined with the seasonal spice of cinnamon and clove form a perfect companion for a visit to Gingerland. Brewed, not Baked. Poured, not sliced. Inspired by a classic tale. Deliciously spiced. Welcome to Gingerland.	",UFO Gingerland,Herb and Spice Beer,Harpoon Brewery & Beer Hall,236.0,282.0,48423.0
3862,8.6%,89.0,4.04,"The scent of our brewery on brew days is irresistible. Akin to the morning’s first brewed batch of perfectly roasted coffee, the aromas envelope you and cause the corners of your lips to curl into the slightest unconscious smile. In this brew, lightly toasted malts with subtly spicy hops blend into cinnamon flavors and creamy lactose sugar. Their coalescence is so uncannily close to fresh baked cinnamon rolls that it was impossible to name this beer anything other than Cinnamon Roll Imperial Ale! Pairs perfectly with eggs benedict at brunch, after dinner, or next to the fire for an unforgettable nightcap.	",Cinnamon Roll Imperial Ale,Herb and Spice Beer,Southern Tier Brewing Company,237.0,3.0,6249.0
3864,7%,88.0,3.94,"Gold Medal Winner at Great American Beer Fest - Herb and Spice Category. A rich black ale with roasted malt flavors blended with bittersweet chocolate, our own blend of three Mexican chili peppers and cinnamon.	",Mexican Chocolate Stout,Herb and Spice Beer,Copper Kettle Brewing Company,258.0,7.0,11912.0
3865,6%,78.0,3.43,20 IBU	,Bison Organic Gingerbread Ale,Herb and Spice Beer,Bison Brewing,289.0,250.0,47233.0
3867,6.8%,89.0,4.03,"This Egyptian inspired brew is spiced with ginger, myrrh, and orange peel ... very complex.	",Baladin Nora,Herb and Spice Beer,Birrificio Le Baladin,364.0,2.0,6241.0
3868,5.9%,76.0,3.31,"This amber ale is crafted with ginger and molasses to capture the familiar taste of gingerbread on a cold winter night. Created in collaboration with our fans, Gingerbread Spiced Ale combines ginger, molasses, and winter spices for a slight caramel sweetness.	",Blue Moon Gingerbread Spiced Ale,Herb and Spice Beer,Coors Brewing Company (Molson-Coors),385.0,280.0,48332.0
3869,4.5%,73.0,3.15,"Applehead is a crisp, refreshing wheat ale with a delightful apple aroma and subtle cinnamon flavor.	",Applehead,Herb and Spice Beer,Shipyard Brewing Company,407.0,294.0,48999.0
3870,10%,81.0,3.56,"Our exploration into the flavors of mole, the legendary sauce of central Mexico. Malty aroma and rich, cocoa-laden body laced with an invigorating tinge of dries chilies and coffee.	",El Mole Ocho,Herb and Spice Beer,New Holland Brewing Company,420.0,174.0,45037.0
3871,6.5%,79.0,3.46,Fresh organic orange zest and cracked coriander complement the orange blossom honey used in this ale. Like a mountain breeze through the citrus trees. 1.060 OG 6 IBU	,Mandarin Nectar,Herb and Spice Beer,Alpine Beer Company,448.0,241.0,46975.0
